Where is Elmo placed ?|K-4|PLACE|Elmo is located at the northwest corner of K-15 and K-4 ( also known as 600 Ave in Dickinson County ) , which is south of Abilene or west of Herington .|['']|Elmo::bn:03881603n|K-4::bn:03535032n|-44228730
Do Hansen served until 1965 ?|Yes|TIME|Hansen served as a Pocatello city commissioner until 1965 .|['']|Hansen served |1965|655267065
What is Institut de Mathématiques de Toulouse?|Institute|GENERALIZATION|The Institut de Mathématiques de Toulouse is the Toulouse Mathematics Institute , a CNRS Research Laboratory which federates the mathematics community of the Toulouse area in France .|['']|Institut de Mathématiques de Toulouse::bn:01364883n|Institute::bn:00046952n|-1952683126
Was Mimbres culture a part of Lublin Governorate?|no|PART|The Mimbres culture was part of the Mogollon people who lived throughout the Catron County area from AD 1000-1130 AD . |['']|bn:00849163n|bn:00358643n|-265741778
Is Dutch Loaf a filler?|yes|GENERALIZATION|Dutch Loaf is a popular sandwich filler in America .|['']|Dutch Loaf::bn:01066200n|filler::bn:00034454n|-293746529
Is Nunavut a part of Lake Lapworth?|no|PART|The Baffin Mountains are a mountain range running along the northeastern coast of Baffin Island and Bylot Island , Nunavut are part of the Arctic Cordillera . |['']|bn:00058316n|bn:03245379n|1424109321
Can The people emit any sound?|Yes|SOUND|The people literally cry when they place their only food in the ground because they know they will receive the harvest .|['']|The bn:00061450n|bn:00084388v|-508210699
Where can Utopia be found ? |Clermont County|PLACE|Utopia is located on the northern bank of the Ohio River in the southeast corner of Clermont County , in southwest Ohio .|['']|Utopia::bn:03300326n|Clermont County::bn:03851552n|-712942353
Is Rosehill Secondary College located in Niddrie ?|Yes|PLACE|Rosehill Secondary College is located in Niddrie , Victoria , Australia .|['']|Rosehill Secondary College::bn:01061885n|Niddrie::bn:03449551n|-249207014
What can Acrow props be used for ?|shoring|PURPOSE|Acrow props are mostly used for shoring : temporary supports during building repair or alteration work , rather than scaffolding : access platforms for workers .|['']|Acrow props::bn:02700816n|shoring::bn:02343504n|-1158252029
What is a data storage ?|technology|GENERALIZATION| Computer data storage , often called storage or memory , is a technology consisting of computer components and recording media used to retain digital data . |['']|bn:00021483n|bn:00005105n|459467676
What is the class of a diplomatic mission ?|group of people|GENERALIZATION| A diplomatic mission is a group of people from one state or an international inter-governmental organisation ( such as the United Nations ) present in another state to represent the sending state/organisation officially in the receiving state . |['']|bn:00027289n|bn:00072536n|-871325141
Where is Monk Soham?|Suffolk|PLACE|Monk Soham is a village in Suffolk|['']|Monk Soham::bn:00561843n|Suffolk::bn:02149058n|-1788189690
Is post office was established in 1884 ?|Yes|TIME|post office in Murdock was established in 1884 ,|['']|post office was established |1884|689189292
is radio station in Parksville, British Columbia?|yes|PLACE|radio station located in Parksville, British Columbia|['']|radio station|Parksville, British Columbia|1028742680
Can elements of luck do make value and risk management?|Yes|ACTIVITY|While some purists consider luck to be an undesirable component of a game , others counter that elements of luck can make for far more diverse and multi-faceted strategies , as concepts such as expected value and risk management must be considered .|['']|bn:00021394n of bn:00017622n|make value and bn:01996781n|433481377
Where is Calheta de Nesquim located ?|Pico|PLACE|Calheta de Nesquim is situated in the southwest coast of Pico , 18 kilometers from the municipal seat of Lajes do Pico , and connected to the parishes of Piedade (Lajes do Pico) and Ribeiras by the Regional E.R.1-1 ª motorway .|['']|Calheta de Nesquim::bn:00368393n|Pico::bn:02300570n|-1480224125
Is Simei MRT Station a fraction of Oto-Pamean language?|no|PART|Simei MRT Station is part of the East West Line . |['']|bn:00308781n|bn:03572183n|-46869876
How can Blake be used?|Blake can be used as a term|HOW_TO_USE|In common with many contemporaries , Blake used balance of trade inconsistently or unclearly as a term .|['']|bn:00011094n|as a bn:00076587n|1399047823
Is dentate gyrus part of the hippocampal formation?|Yes.|PART|The dentate gyrus is part of the hippocampal formation .|['']|bn_03082577n|bn_02691933n|1031135470
Is Pianiga located in Santa Maria di Sala ?|Yes|PLACE|Pianiga is located in the extreme southwestern edge of the province of Venice , in part bordering on the province of Padua and in part with the municipalities of Santa Maria di Sala , Mirano , Mira , Dolo and Fiesso d'Artico .|['']|Pianiga::bn:03500645n|Santa Maria di Sala::bn:03500680n|-635482337
What is byte used for?|It can be used to represent the number of bits used to encode a single character of text ( until UTF-8|HOW_TO_USE|The most common is the unit byte , coined by Werner Buchholz in July 1956 , which historically was used to represent the number of bits used to encode a single character of text ( until UTF-8 multibyte encoding took over ) in a computer and for this reason it was used as the basic addressable element in many computer architecture s . |['']|bn:00014365n|bn:02574237n|-1356696002
Do temple have inscriptions ?|Yes|PART|temple has inscriptions from|['']|inscriptions::bn:00046867n|temple::bn:00076465n|-1742731054
Can you give me an example of giant thing ?|Sure, an example of a giant size is Buddha Statue.|SIZE|There is a giant Buddha Statue near a hillock near the Belum Caves .|['']|bn:03750363n|bn:00102113a|747504364
Can you give me an example of extensive thing ?|Sure, an example of a extensive size is Jokl collection.|SIZE|In one of his applications , he also asked for permission to take along his library , but was opposed by Dean Christian , who was very interested in keeping Jokl 's extensive collection at the University .|['']||bn:00102617a|1124652771
Where is Trang Airport located ?|Tambon|PLACE|Trang Airport is located in `` Tambon '' Khok Lo , Mueang Trang district , Trang Province , 7 km from Trang town centre .|['']|Trang Airport::bn:03583278n|Tambon::bn:03468778n|2037271140
Is Aldenham Reservoir located in England ?|Yes|PLACE|Aldenham Reservoir is situated in the parish of Elstree and Borehamwood in Hertfordshire , England , about one mile ( 1.6 km ) to the west of the village of Elstree .|['']|Aldenham Reservoir::bn:00281501n|England::bn:00030861n|1105689182
What is Support by advertising?|a popular business model of software as a service ( SaaS ) on the Web|SPECIALIZATION|Support by advertising is a popular business model of software as a service ( SaaS ) on the Web .|['']|bn:00075330n by bn:00001227n|a bn:00108806a bn:00014137n bn:00036197n of bn:00021497n as a bn:00070651n ( bn:01570572n ) on the bn:00080772n|952947615
Is the lock short?|Yes|SIZE|Keadby Lock is much shorter than the ship , and so it had to sail through when the river made a level with the canal , and both sets of gates could be opened at the same time .|['']|bn:00051773n|short|-955333934
Is family friendship was developed In 1880s ?|Yes|TIME|1880s , a family friendship with Oscar Wilde was developed through|['']|family friendship was developed |1880s::bn:02832384n|-1786435107
Is simple fortified residence was added during century ?|Yes|TIME|simple fortified residence was added during the 14th century ,|['']|simple fortified residence was added |century::bn:00017234n|674324520
Is European Championships were held In 1950 ?|Yes|TIME|1950 , the European Championships were held in|['']|European Championships were held |1950|-1744577283
What is CBA ?|a work|GENERALIZATION|https://peosoldier.army.mil/newpeo/Equipment/Temp.asp?id=spe_cba , which is in the public domain as it is a work of|['']|CBA|work::bn:00081568n|-514903538
Is It an example of improvement?|yes|GENERALIZATION|It is an improvement over the older M14 Direct Connect sound suppressor .|['']|It::NULL_BID|improvement::bn:00046191n|-1461719010
What is Are used for?|It can be used to measure land : Other uncommon metric units of area include the tetrad , the hectad , and the myriad|HOW_TO_USE|The '' Are '' was the original unit of area in the metric system , with ; Though the are has fallen out of use , the hectare is still commonly used to measure land : Other uncommon metric units of area include the tetrad , the hectad , and the myriad . |['']|bn:00005243n|bn:00000011n|-708015324
Is the cube small?|Yes|SIZE|Since the construction is a cubed cube , you 're not allowed to use a cube of side equal to  c  ; so only smaller cubes may stand upon  S  .|['']|bn:00024258n|small|-923447480
